MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Neighborhood,Condition_1,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Area,Garage_Qual,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Fence,Misc_Val,Year_Sold,Sale_Type,Sale_Condition
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',75.0,10000.0,b'Slightly_Irregular',b'Lvl',b'Corner',b'Gilbert',b'Norm',b'OneFam',b'Two_Story',5,4,1993.0,1994.0,b'Gable',b'HdBoard',b'HdBoard',b'None',0.0,1,2,b'PConc',4,3,1,b'Unf',7.0,b'Unf',0.0,763.0,763.0,3,763.0,892.0,0.0,1655.0,0.0,0.0,2.0,1.0,3.0,1.0,2,1.0,3,b'Attchd',b'Fin',440.0,3,157.0,84.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',0.0,7980.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'One_Story',5,6,1992.0,2007.0,b'Gable',b'HdBoard',b'HdBoard',b'None',0.0,1,3,b'PConc',4,3,1,b'ALQ',1.0,b'Unf',0.0,233.0,1168.0,4,1187.0,0.0,0.0,1187.0,1.0,0.0,2.0,0.0,3.0,1.0,2,0.0,0,b'Attchd',b'Fin',420.0,3,483.0,21.0,0.0,0.0,0.0,0.0,b'Good_Privacy',500.0,2010.0,b'WD ',b'Normal'
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',63.0,8402.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'Two_Story',5,4,1998.0,1998.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'PConc',4,3,1,b'Unf',7.0,b'Unf',0.0,789.0,789.0,3,789.0,676.0,0.0,1465.0,0.0,0.0,2.0,1.0,3.0,1.0,2,1.0,4,b'Attchd',b'Fin',393.0,3,0.0,75.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',85.0,10176.0,b'Regular',b'Lvl',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'One_Story',6,4,1990.0,1990.0,b'Gable',b'HdBoard',b'HdBoard',b'None',0.0,1,2,b'PConc',4,3,4,b'GLQ',3.0,b'Unf',0.0,663.0,1300.0,3,1341.0,0.0,0.0,1341.0,1.0,0.0,1.0,1.0,2.0,1.0,3,1.0,1,b'Attchd',b'Unf',506.0,3,192.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',0.0,6820.0,b'Slightly_Irregular',b'Lvl',b'Corner',b'Stone_Brook',b'Norm',b'TwnhsE',b'One_Story',7,4,1985.0,1985.0,b'Gable',b'HdBoard',b'HdBoard',b'None',0.0,2,2,b'PConc',4,3,3,b'GLQ',3.0,b'BLQ',1120.0,0.0,1488.0,2,1502.0,0.0,0.0,1502.0,1.0,0.0,1.0,1.0,1.0,1.0,3,0.0,0,b'Attchd',b'RFn',528.0,3,0.0,54.0,0.0,0.0,140.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',47.0,53504.0,b'Moderately_Irregular',b'HLS',b'CulDSac',b'Stone_Brook',b'Norm',b'OneFam',b'Two_Story',7,4,2003.0,2003.0,b'Hip',b'CemntBd',b'Wd Shng',b'BrkFace',603.0,3,2,b'PConc',4,3,4,b'ALQ',1.0,b'Unf',0.0,234.0,1650.0,4,1690.0,1589.0,0.0,3279.0,1.0,0.0,3.0,1.0,4.0,1.0,4,1.0,4,b'BuiltIn',b'Fin',841.0,3,503.0,36.0,0.0,0.0,210.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_and_Half_Story_Finished_All_Ages',b'Residential_Low_Density',152.0,12134.0,b'Slightly_Irregular',b'Bnk',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'One_and_Half_Fin',7,6,1988.0,2005.0,b'Gable',b'Wd Sdng',b'Wd Sdng',b'None',0.0,2,2,b'Wood',4,3,3,b'GLQ',3.0,b'Unf',0.0,132.0,559.0,3,1080.0,672.0,0.0,1752.0,0.0,0.0,2.0,0.0,4.0,1.0,2,0.0,0,b'Basment',b'RFn',492.0,3,325.0,12.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',88.0,11394.0,b'Regular',b'Lvl',b'Corner',b'Stone_Brook',b'Norm',b'OneFam',b'One_Story',8,1,2010.0,2010.0,b'Hip',b'VinylSd',b'VinylSd',b'Stone',350.0,2,2,b'PConc',5,3,3,b'GLQ',3.0,b'Unf',0.0,411.0,1856.0,4,1856.0,0.0,0.0,1856.0,1.0,0.0,1.0,1.0,1.0,1.0,4,1.0,5,b'Attchd',b'Fin',834.0,3,113.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'New',b'Partial'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',140.0,19138.0,b'Regular',b'Lvl',b'Corner',b'Gilbert',b'Norm',b'OneFam',b'One_Story',3,4,1951.0,1951.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'CBlock',3,3,1,b'LwQ',4.0,b'Unf',0.0,744.0,864.0,4,864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,2.0,1.0,2,0.0,0,b'Detchd',b'Unf',400.0,3,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',85.0,13175.0,b'Regular',b'Lvl',b'Inside',b'Northwest_Ames',b'Norm',b'OneFam',b'One_Story',5,5,1978.0,1988.0,b'Gable',b'Plywood',b'Plywood',b'Stone',119.0,1,2,b'CBlock',4,3,1,b'ALQ',1.0,b'Rec',163.0,589.0,1542.0,2,2073.0,0.0,0.0,2073.0,1.0,0.0,2.0,0.0,3.0,1.0,2,2.0,3,b'Attchd',b'Unf',500.0,3,349.0,0.0,0.0,0.0,0.0,0.0,b'Minimum_Privacy',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',105.0,11751.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Northwest_Ames',b'Norm',b'OneFam',b'One_Story',5,5,1977.0,1977.0,b'Hip',b'Plywood',b'Plywood',b'BrkFace',480.0,1,2,b'CBlock',4,3,1,b'BLQ',2.0,b'Unf',0.0,1139.0,1844.0,4,1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,0.0,3.0,1.0,2,1.0,3,b'Attchd',b'RFn',546.0,3,0.0,122.0,0.0,0.0,0.0,0.0,b'Minimum_Privacy',0.0,2010.0,b'COD',b'Normal'
b'Split_Foyer',b'Residential_Low_Density',85.0,10625.0,b'Regular',b'Lvl',b'Inside',b'Northwest_Ames',b'Norm',b'OneFam',b'SFoyer',6,5,1974.0,1974.0,b'Gable',b'Plywood',b'Plywood',b'BrkFace',81.0,1,2,b'CBlock',4,3,4,b'GLQ',3.0,b'LwQ',168.0,0.0,1053.0,2,1173.0,0.0,0.0,1173.0,1.0,0.0,2.0,0.0,3.0,1.0,3,2.0,3,b'Attchd',b'RFn',528.0,3,0.0,120.0,0.0,0.0,0.0,0.0,b'Minimum_Privacy',0.0,2010.0,b'WD ',b'Family'
b'Two_Story_1946_and_Newer',b'Floating_Village_Residential',0.0,7500.0,b'Regular',b'Lvl',b'Inside',b'Somerset',b'Norm',b'OneFam',b'Two_Story',6,4,2000.0,2000.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,2,2,b'PConc',4,3,1,b'GLQ',3.0,b'Unf',0.0,281.0,814.0,4,814.0,860.0,0.0,1674.0,1.0,0.0,2.0,1.0,3.0,1.0,3,0.0,0,b'Attchd',b'RFn',663.0,3,0.0,96.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',0.0,11241.0,b'Slightly_Irregular',b'Lvl',b'CulDSac',b'North_Ames',b'Norm',b'OneFam',b'One_Story',5,6,1970.0,1970.0,b'Gable',b'Wd Sdng',b'Wd Sdng',b'BrkFace',180.0,1,2,b'CBlock',3,3,1,b'ALQ',1.0,b'Unf',0.0,426.0,1004.0,4,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,2,1.0,3,b'Attchd',b'Fin',480.0,3,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',700.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',0.0,12537.0,b'Slightly_Irregular',b'Lvl',b'CulDSac',b'North_Ames',b'Norm',b'OneFam',b'One_Story',4,5,1971.0,2008.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'CBlock',3,3,1,b'GLQ',3.0,b'Unf',0.0,344.0,1078.0,4,1078.0,0.0,0.0,1078.0,1.0,0.0,1.0,1.0,3.0,1.0,2,1.0,2,b'Attchd',b'Fin',500.0,3,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',65.0,8450.0,b'Regular',b'Lvl',b'Inside',b'North_Ames',b'Norm',b'OneFam',b'One_Story',4,5,1968.0,1968.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'CBlock',3,3,1,b'BLQ',2.0,b'Unf',0.0,281.0,1056.0,4,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,2,1.0,2,b'Attchd',b'Unf',304.0,3,0.0,85.0,184.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',70.0,8400.0,b'Regular',b'Lvl',b'Corner',b'North_Ames',b'Norm',b'OneFam',b'One_Story',3,4,1970.0,1970.0,b'Gable',b'Plywood',b'Plywood',b'None',0.0,1,2,b'CBlock',3,3,1,b'ALQ',1.0,b'Rec',78.0,0.0,882.0,2,882.0,0.0,0.0,882.0,1.0,0.0,1.0,0.0,2.0,1.0,2,0.0,0,b'Attchd',b'Fin',525.0,3,240.0,0.0,0.0,0.0,0.0,0.0,b'Minimum_Privacy',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',70.0,10500.0,b'Regular',b'Lvl',b'FR2',b'North_Ames',b'Norm',b'OneFam',b'One_Story',3,4,1971.0,1971.0,b'Gable',b'HdBoard',b'HdBoard',b'None',0.0,1,2,b'CBlock',3,3,1,b'ALQ',1.0,b'Unf',0.0,432.0,864.0,2,864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,3.0,1.0,2,1.0,1,b'No_Garage',b'No_Garage',0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'ConLI',b'Normal'
b'One_Story_PUD_1946_and_Newer',b'Residential_High_Density',26.0,5858.0,b'Slightly_Irregular',b'Lvl',b'FR2',b'North_Ames',b'Norm',b'TwnhsE',b'One_Story',6,4,1999.0,1999.0,b'Gable',b'MetalSd',b'MetalSd',b'None',0.0,2,2,b'PConc',4,3,1,b'GLQ',3.0,b'BLQ',0.0,354.0,1405.0,4,1337.0,0.0,0.0,1337.0,1.0,0.0,2.0,0.0,2.0,1.0,3,1.0,2,b'Attchd',b'Fin',511.0,3,203.0,68.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_PUD_1946_and_Newer',b'Residential_Medium_Density',21.0,1680.0,b'Regular',b'Lvl',b'Inside',b'Briardale',b'Norm',b'Twnhs',b'Two_Story',5,4,1971.0,1971.0,b'Gable',b'HdBoard',b'HdBoard',b'BrkFace',504.0,1,2,b'CBlock',3,3,1,b'Rec',6.0,b'Unf',0.0,327.0,483.0,2,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,2,0.0,0,b'Detchd',b'Unf',264.0,3,275.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'COD',b'Normal'
b'Two_Story_PUD_1946_and_Newer',b'Residential_Medium_Density',21.0,1680.0,b'Regular',b'Lvl',b'Inside',b'Briardale',b'Norm',b'Twnhs',b'Two_Story',4,4,1971.0,1971.0,b'Gable',b'HdBoard',b'HdBoard',b'BrkFace',492.0,1,2,b'CBlock',3,3,1,b'Rec',6.0,b'Unf',0.0,225.0,525.0,2,525.0,567.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,2,0.0,0,b'Detchd',b'Unf',320.0,3,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_PUD_1946_and_Newer',b'Residential_Medium_Density',21.0,1680.0,b'Regular',b'Lvl',b'Inside',b'Briardale',b'Norm',b'Twnhs',b'Two_Story',5,4,1971.0,1971.0,b'Gable',b'HdBoard',b'ImStucc',b'BrkFace',381.0,1,2,b'CBlock',3,3,1,b'Unf',7.0,b'Unf',0.0,525.0,525.0,2,525.0,567.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,2,0.0,0,b'Detchd',b'Unf',264.0,3,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Family'
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',53.0,4043.0,b'Regular',b'Lvl',b'Inside',b'Northpark_Villa',b'Norm',b'TwnhsE',b'One_Story',5,4,1977.0,1977.0,b'Gable',b'Plywood',b'Plywood',b'None',0.0,1,2,b'CBlock',4,3,1,b'ALQ',1.0,b'Unf',0.0,709.0,1069.0,2,1069.0,0.0,0.0,1069.0,0.0,0.0,2.0,0.0,2.0,1.0,2,1.0,2,b'Attchd',b'RFn',440.0,3,0.0,55.0,0.0,0.0,165.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_PUD_1946_and_Newer',b'Residential_Low_Density',24.0,2280.0,b'Regular',b'Lvl',b'FR2',b'Northpark_Villa',b'Norm',b'Twnhs',b'Two_Story',5,5,1975.0,1975.0,b'Gable',b'Plywood',b'Brk Cmn',b'None',0.0,1,2,b'CBlock',3,3,1,b'ALQ',1.0,b'Unf',0.0,341.0,855.0,2,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,3,1.0,3,b'Attchd',b'Unf',440.0,3,173.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',24.0,2280.0,b'Regular',b'Lvl',b'FR2',b'Northpark_Villa',b'Norm',b'Twnhs',b'One_Story',6,5,1975.0,1975.0,b'Gable',b'Plywood',b'Brk Cmn',b'None',0.0,1,2,b'CBlock',4,3,1,b'Unf',7.0,b'Unf',0.0,836.0,836.0,4,836.0,0.0,0.0,836.0,0.0,0.0,1.0,0.0,2.0,1.0,2,0.0,0,b'Attchd',b'Unf',308.0,3,0.0,30.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_PUD_1946_and_Newer',b'Residential_Low_Density',24.0,2280.0,b'Regular',b'Lvl',b'Inside',b'Northpark_Villa',b'Norm',b'Twnhs',b'Two_Story',5,4,1978.0,1978.0,b'Gable',b'Plywood',b'Brk Cmn',b'None',0.0,1,2,b'CBlock',4,3,1,b'ALQ',1.0,b'Unf',0.0,544.0,855.0,1,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,2,1.0,3,b'Attchd',b'Unf',440.0,3,26.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',102.0,12858.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Northridge_Heights',b'Norm',b'OneFam',b'Two_Story',8,4,2009.0,2010.0,b'Gable',b'VinylSd',b'VinylSd',b'Stone',162.0,3,2,b'PConc',5,3,1,b'Unf',7.0,b'Unf',0.0,1590.0,1590.0,4,1627.0,707.0,0.0,2334.0,0.0,0.0,2.0,1.0,3.0,1.0,4,1.0,4,b'Attchd',b'Fin',751.0,3,144.0,133.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'New',b'Partial'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',98.0,11478.0,b'Regular',b'Lvl',b'Inside',b'Northridge_Heights',b'Norm',b'OneFam',b'One_Story',7,4,2007.0,2008.0,b'Gable',b'VinylSd',b'VinylSd',b'Stone',200.0,2,2,b'PConc',5,3,1,b'GLQ',3.0,b'Unf',0.0,486.0,1704.0,4,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,3,1.0,4,b'Attchd',b'RFn',772.0,3,0.0,50.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',83.0,10159.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Northridge_Heights',b'Norm',b'OneFam',b'One_Story',8,4,2009.0,2010.0,b'Hip',b'VinylSd',b'VinylSd',b'Stone',450.0,3,2,b'PConc',5,3,3,b'GLQ',3.0,b'Unf',0.0,284.0,1930.0,4,1940.0,0.0,0.0,1940.0,1.0,0.0,2.0,1.0,3.0,1.0,4,1.0,4,b'Attchd',b'Fin',606.0,3,168.0,95.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'New',b'Partial'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',94.0,12883.0,b'Slightly_Irregular',b'Lvl',b'Corner',b'Northridge_Heights',b'Norm',b'OneFam',b'One_Story',7,4,2009.0,2010.0,b'Gable',b'VinylSd',b'VinylSd',b'Stone',256.0,2,2,b'PConc',4,3,1,b'Unf',7.0,b'Unf',0.0,1544.0,1544.0,4,1544.0,0.0,0.0,1544.0,0.0,0.0,2.0,0.0,3.0,1.0,3,0.0,0,b'Attchd',b'RFn',868.0,3,0.0,35.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'New',b'Partial'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',95.0,12182.0,b'Regular',b'Lvl',b'Corner',b'Northridge_Heights',b'Norm',b'OneFam',b'One_Story',6,4,2005.0,2005.0,b'Gable',b'VinylSd',b'VinylSd',b'BrkFace',226.0,2,2,b'PConc',4,3,2,b'BLQ',2.0,b'Unf',0.0,340.0,1541.0,4,1541.0,0.0,0.0,1541.0,0.0,0.0,2.0,0.0,3.0,1.0,3,1.0,4,b'Attchd',b'RFn',532.0,3,0.0,70.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'New',b'Partial'
